Year;Country;Region;Energy type;Energy consumption (KWh);Energy consumption (MWh);Energy consumption (TWh);Sector;;
2021;France;Grand Est;Electricity;115362;115;0.000115362;Agriculture;;
2021;France;Nouvelle-Aquitaine;Electricity;12471471;12471;0.012471471;Households;;
2021;France;Occitanie;Electricity;493000;493;0.000493;Services;;
2021;France;Occitanie;Electricity;385000;385;0.000385;Services;;
2021;France;Occitanie;Electricity;123000;123;0.000123;Services;;
2021;France;Occitanie;Electricity;256000;256;0.000256;Households;;
2021;France;Grand Est;Electricity;80673;81;8.0673E-5;Services;;
2021;France;Grand Est;Electricity;72914;73;7.2914E-5;Services;;
2021;France;Grand Est;Electricity;613007;613;0.000613007;Services;;
2021;France;Hauts-de-France;Electricity;47206;47;4.7206E-5;Services;;
2021;France;Hauts-de-France;Electricity;2190780;2191;0.00219078;Services;;
2021;France;Occitanie;Electricity;110000;110;0.00011;Industry;;
2021;France;Occitanie;Electricity;5297000;5297;0.005297;Industry;;
2021;France;Occitanie;Electricity;246000;246;0.000246;Industry;;
2021;France;Occitanie;Electricity;76000;76;7.6E-5;Services;;
2021;France;Occitanie;Electricity;326000;326;0.000326;Services;;
2021;France;Occitanie;Electricity;262000;262;0.000262;Industry;;
2021;France;Occitanie;Electricity;936000;936;0.000936;Services;;
2021;France;Occitanie;Electricity;173000;173;0.000173;Services;;
2021;France;Occitanie;Electricity;73000;73;7.3E-5;Services;;
2021;France;Bourgogne-Franche-Comté;Electricity;137883;138;0.000137883;Industry;;
2021;France;Bourgogne-Franche-Comté;Electricity;83186;83;8.3186E-5;Services;;
2021;France;Bourgogne-Franche-Comté;Electricity;8631857;8632;0.008631857;Households;;
2021;France;Occitanie;Electricity;31000;31;3.1E-5;Industry;;
2021;France;Occitanie;Electricity;141000;141;0.000141;Industry;;
2021;France;Occitanie;Electricity;1792000;1792;0.001792;Services;;
2021;France;Occitanie;Electricity;808000;808;0.000808;Services;;
2021;France;Occitanie;Electricity;2461000;2461;0.002461;Services;;
2021;France;Occitanie;Electricity;13196000;13196;0.013196;Households;;
2021;France;Occitanie;Electricity;57000;57;5.7E-5;Services;;
2021;France;Occitanie;Electricity;1400000;1400;0.0014;Services;;
2021;France;Occitanie;Electricity;150000;150;0.00015;Services;;
2021;France;Occitanie;Electricity;121000;121;0.000121;Services;;
2021;France;Occitanie;Electricity;870000;870;0.00087;Services;;
2021;France;Occitanie;Electricity;29000;29;2.9E-5;Services;;
2021;France;Occitanie;Electricity;117000;117;0.000117;Industry;;
2021;France;Occitanie;Electricity;187000;187;0.000187;Industry;;
2021;France;Occitanie;Electricity;820000;820;0.00082;Services;;
2021;France;Occitanie;Electricity;280000;280;0.00028;Services;;
2021;France;Occitanie;Electricity;337000;337;0.000337;Industry;;
2021;France;Occitanie;Electricity;9945000;9945;0.009945;Households;;
2021;France;Occitanie;Electricity;128000;128;0.000128;Services;;
2021;France;Occitanie;Electricity;21000;21;2.1E-5;Services;;
2021;France;Occitanie;Electricity;1730000;1730;0.00173;Households;;
2021;France;Grand Est;Electricity;149737;150;0.000149737;Industry;;
2021;France;Grand Est;Electricity;1005891;1006;0.001005891;Services;;
2021;France;Grand Est;Electricity;13874129;13874;0.013874129;Households;;
2021;France;Grand Est;Electricity;292312;292;0.000292312;Industry;;
2021;France;Grand Est;Electricity;159215;159;0.000159215;Services;;
2021;France;Grand Est;Electricity;57567;58;5.7567E-5;Services;;
2021;France;Grand Est;Electricity;529348;529;0.000529348;Services;;
2021;France;Grand Est;Electricity;173186;173;0.000173186;Services;;
2021;France;Grand Est;Electricity;100351;100;0.000100351;Services;;
2021;France;Occitanie;Electricity;17265000;17265;0.017265;Households;;
2021;France;Auvergne-Rhône-Alpes;Electricity;233258;233;0.000233258;Industry;;
2021;France;Auvergne-Rhône-Alpes;Electricity;29944;30;2.9944E-5;Services;;
