City;Population 2024;Area (mile2);Density (/mile2);Value (kWh);Date;Max_Value (kWh);Day_of_Week
Houston;2319119;640,61;3620;4,287;06.09.2020;1;Friday
San Antonio;1513974;498,92;3034;4,249;30.06.2020;2;Sunday
Dallas;1302753;339,68;3835;4,151;14.06.2020;3;Friday
Fort Worth;996756;350,27;2846;4,133;07.01.2020;4;Sunday
Austin;984567;326,37;3017;4,07;07.01.2020;5;Sunday
El Paso;678859;258,79;2623;3,996;06.09.2020;6;Friday
Arlington;399825;95,84;4172;3,989;15.05.2020;7;Wednesday
Corpus Christi;316105;162,28;1948;3,898;19.03.2020;8;Tuesday
Plano;291450;71,7;4065;3,89;07.05.2020;9;Tuesday
Lubbock;269833;141,96;1901;3,838;21.06.2020;10;Friday
Laredo;258306;106,82;2418;3,821;13.06.2020;11;Thursday
Irving;253561;66,98;3786;3,763;07.04.2020;12;Sunday
Garland;242523;56,86;4265;3,759;23.05.2020;13;Thursday
Frisco;232424;68,59;3389;3,75;20.05.2020;14;Monday
McKinney;218846;66,96;3268;3,741;21.06.2020;15;Friday
Grand Prairie;204093;72,51;2815;3,732;06.02.2020;16;Tuesday
Amarillo;203035;103,61;1960;3,711;29.05.2020;17;Wednesday
Brownsville;191209;131,8;1451;3,704;30.06.2020;18;Sunday
Denton;164096;96,92;1693;3,687;29.05.2020;19;Wednesday
Killeen;161612;54,63;2958;3,631;22.05.2020;20;Wednesday
McAllen;147989;62,33;2374;3,61;20.05.2020;21;Monday
Mesquite;146547;49,1;2985;3,589;15.05.2020;22;Wednesday
Waco;146241;91;1607;3,588;27.06.2020;23;Thursday
Pasadena;145165;43,69;3323;3,545;06.06.2020;24;Thursday
Midland;140232;75,98;1846;3,512;06.08.2020;25;Tuesday
Lewisville;135930;40,66;3343;3,491;06.08.2020;26;Tuesday
Round Rock;133691;37,92;3526;3,483;30.04.2020;27;Tuesday
Carrollton;132706;36,65;3621;3,474;14.06.2020;28;Friday
Abilene;130251;106,67;1221;3,467;07.05.2020;29;Tuesday
Abilene;130251;106,67;1221;3,467;30.06.2020;29;Sunday
College Station;126665;51,16;2476;3,456;07.04.2020;31;Sunday
The Woodlands;122272;43,27;2826;3,424;07.02.2020;32;Wednesday
New Braunfels;117396;45,03;2607;3,403;21.06.2020;33;Friday
League City;116874;51,36;2275;3,366;06.05.2020;34;Monday
Richardson;116813;28,56;4090;3,362;21.06.2020;35;Friday
Odessa;116015;51,89;2236;3,36;22.05.2020;36;Wednesday
Conroe;113912;75,8;1503;3,344;06.02.2020;37;Tuesday
Allen;113644;26,4;4304;3,341;13.06.2020;38;Thursday
Tyler;111678;57,79;1932;3,302;07.03.2020;39;Thursday
Beaumont;111305;82,14;1355;3,3;06.02.2020;40;Tuesday
